Dimensions,4
Normalised,20
evals,41000
key,dist,emissions,time,vehicles,dist,Actualemissions,ActualTime,ActualVehicles,ActualDistMicroDepot: Micro Depot 1,MicroDepot: Micro Depot 2,MicroDepot: Micro Depot 3,MicroDepot: Micro Depot 4,MicroDepot: Micro Depot 5,MicroDepot: Micro Depot 6,MicroDepot: Micro Depot 7,MicroDepot: Micro Depot 8,MicroDepot: Micro Depot 9,MicroDepot: Micro Depot 10,MicroDepot: Micro Depot 11,MicroDepot: Micro Depot 12,MicroDepot: Micro Depot 13,MicroDepot: Micro Depot 14,bike,walk,electric van,
19:17:9:16,1303.61,19,17,9,16,114.07,26.65,5.00,45.19,1,0,0,1,0,0,0,0,0,0,2,1,1,0,3,2,1,
20:19:9:17,1164.63,20,19,9,17,118.95,27.79,5.00,45.87,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,3,0,
17:14:4:15,2408.24,17,14,4,15,102.57,23.96,3.00,44.63,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,
17:14:4:14,2405.77,17,14,4,14,103.89,24.27,3.00,44.10,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,2,
17:14:4:17,2414.74,17,14,4,17,103.43,24.17,3.00,45.44,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,
17:14:4:16,2411.59,17,14,4,16,102.98,24.06,3.00,45.05,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,
17:14:4:11,1741.76,17,14,4,11,104.66,24.45,3.00,42.88,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,
17:14:4:10,1736.82,17,14,4,10,103.06,24.08,3.00,42.39,1,2,0,0,0,1,0,0,0,0,0,0,0,0,1,1,2,
17:14:4:13,2402.78,17,14,4,13,103.01,24.07,3.00,43.79,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,
17:14:4:12,2399.51,17,14,4,12,103.95,24.29,3.00,43.20,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,
19:18:4:2,1022.35,19,18,4,2,114.62,26.78,3.00,38.76,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,
19:18:4:1,1016.12,19,18,4,1,114.51,26.75,3.00,37.55,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,
19:18:4:6,1034.11,19,18,4,6,116.62,27.25,3.00,40.49,0,0,0,0,0,1,0,1,1,0,1,1,0,0,3,1,1,
19:18:4:5,1031.49,19,18,4,5,116.29,27.17,3.00,40.07,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,
19:18:4:4,1026.55,19,18,4,4,114.69,26.80,3.00,39.58,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,
19:18:4:3,1025.25,19,18,4,3,115.08,26.89,3.00,39.20,0,0,0,1,0,0,1,1,0,0,0,0,0,0,2,1,0,
17:15:11:10,1842.04,17,15,11,10,106.34,24.85,6.00,42.63,0,0,0,0,1,0,1,0,2,0,1,0,2,0,1,5,1,
16:12:16:19,2800.56,16,12,16,19,97.48,22.78,8.00,46.35,1,1,1,2,1,0,0,0,0,1,0,1,1,0,3,3,3,
18:15:7:1,1110.44,18,15,7,1,108.13,25.26,4.00,38.40,1,0,0,0,0,1,0,1,0,0,0,0,0,0,2,1,0,
18:15:7:2,1112.42,18,15,7,2,107.58,25.13,4.00,38.97,3,0,0,0,0,0,1,1,0,0,0,0,0,0,1,3,1,
18:15:7:3,1769.09,18,15,7,3,107.57,25.13,4.00,39.14,0,0,0,0,0,0,1,1,1,0,1,1,0,0,2,1,2,
18:15:7:4,1726.07,18,15,7,4,108.13,25.26,4.00,39.61,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,3,0,
19:17:9:20,1870.05,19,17,9,20,113.14,26.43,5.00,46.98,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,2,2,
20:19:9:20,1278.75,20,19,9,20,119.72,27.97,5.00,48.45,0,0,0,1,1,0,0,0,1,0,1,0,1,0,4,0,1,
